order_id,order_date,customer_id,product_id,quantity,unit_price,discount,total_amount,channel
O000001,2024-09-07,C0092,P0012,7,253.71,0,1775.97,Partner
O000002,2024-06-28,C0106,P0019,3,120.65,0,361.95,Online
O000003,2025-11-30,C0157,P0028,7,19.35,0.1,121.91,Online
O000004,2025-04-17,C0128,P0030,3,30.0,0,90.0,Partner
O000005,2024-01-10,C0066,P0015,5,220.08,0.15,935.34,In-Store
O000006,2025-03-28,C0074,P0022,3,391.51,0,1174.53,In-Store
O000007,2024-09-13,C0151,P0010,7,217.18,0.15,1292.22,In-Store
O000008,2025-05-09,C0078,P0007,7,39.48,0.2,221.09,Online
O000009,2024-10-29,C0061,P0013,6,355.88,0.1,1921.75,Partner
O000010,2024-01-09,C0076,P0001,7,388.22,0,2717.54,Partner
O000011,2025-05-23,C0176,P0025,1,47.4,0.1,42.66,In-Store
O000012,2024-12-26,C0199,P0026,4,73.21,0.1,263.56,Online
O000013,2025-11-06,C0163,P0007,5,39.48,0.15,167.79,Partner
O000014,2025-10-23,C0036,P0021,2,43.43,0.15,73.83,Online
O000015,2025-08-16,C0080,P0026,8,73.21,0,585.68,In-Store
O000016,2024-11-30,C0188,P0005,2,252.32,0,504.64,Partner
O000017,2025-07-06,C0107,P0006,4,163.81,0,655.24,In-Store
O000018,2024-06-17,C0136,P0017,5,100.03,0.2,400.12,In-Store
O000019,2024-12-12,C0124,P0026,5,73.21,0.15,311.14,Online
O000020,2024-08-19,C0120,P0003,3,314.36,0.2,754.46,Partner
O000021,2025-07-24,C0186,P0022,7,391.51,0.2,2192.46,In-Store
O000022,2024-09-27,C0024,P0026,7,73.21,0,512.47,Partner
O000023,2025-11-19,C0032,P0015,6,220.08,0.15,1122.41,In-Store
O000024,2025-11-22,C0150,P0013,6,355.88,0,2135.28,Online
O000025,2024-08-14,C0121,P0001,6,388.22,0.1,2096.39,Partner
O000026,2024-11-05,C0017,P0021,8,43.43,0.15,295.32,Partner
O000027,2024-02-08,C0105,P0004,3,111.89,0,335.67,In-Store
O000028,2025-07-04,C0127,P0004,2,111.89,0,223.78,Online
O000029,2025-12-14,C0100,P0015,6,220.08,0.15,1122.41,Partner
O000030,2025-11-01,C0108,P0019,3,120.65,0.05,343.85,Online
O000031,2024-02-03,C0126,P0020,7,97.17,0,680.19,Partner
O000032,2024-08-29,C0095,P0007,8,39.48,0.05,300.05,In-Store
O000033,2025-10-22,C0026,P0022,6,391.51,0.1,2114.15,In-Store
O000034,2024-05-05,C0016,P0013,5,355.88,0,1779.4,In-Store
O000035,2025-10-16,C0024,P0022,4,391.51,0.15,1331.13,Partner
O000036,2024-05-08,C0006,P0002,6,37.33,0,223.98,Partner
O000037,2024-08-09,C0053,P0003,4,314.36,0.1,1131.7,Online
O000038,2025-09-02,C0085,P0025,3,47.4,0.2,113.76,Online
O000039,2025-07-07,C0071,P0028,3,19.35,0,58.05,In-Store
O000040,2024-01-16,C0045,P0004,1,111.89,0,111.89,In-Store
O000041,2024-06-27,C0061,P0019,6,120.65,0,723.9,In-Store
O000042,2024-04-26,C0014,P0005,7,252.32,0.1,1589.62,Partner
O000043,2025-01-05,C0017,P0016,8,250.04,0.2,1600.26,Partner
O000044,2024-08-14,C0152,P0004,8,111.89,0.1,805.61,Partner
O000045,2025-10-20,C0012,P0024,5,283.93,0.05,1348.67,Online
O000046,2025-12-03,C0016,P0016,7,250.04,0.05,1662.77,Online
O000047,2024-03-23,C0126,P0023,8,306.06,0,2448.48,In-Store
O000048,2024-10-08,C0156,P0005,2,252.32,0,504.64,Partner
O000049,2025-09-03,C0163,P0019,6,120.65,0.05,687.71,Partner
O000050,2025-12-19,C0076,P0015,7,220.08,0,1540.56,Online
O000051,2025-04-07,C0168,P0021,4,43.43,0.05,165.03,Online
O000052,2025-03-01,C0106,P0011,8,382.02,0.05,2903.35,Partner
O000053,2025-11-12,C0025,P0011,7,382.02,0,2674.14,In-Store
O000054,2024-04-03,C0096,P0005,8,252.32,0,2018.56,Online
O000055,2025-01-16,C0024,P0014,2,199.28,0.15,338.78,Online
O000056,2024-05-05,C0143,P0002,6,37.33,0.15,190.38,In-Store
